,,thin,thick,nn2,genhalf,ex64,ev2li
j-10-10-r-5-10,0,0.0864565446972847,0.024132560938596725,0.19298215210437775,0.3623298406600952,0.7563527822494507,0.10936316102743149
j-10-10-r-5-10,1,0.11532040685415268,0.14348353445529938,0.2347557544708252,0.4228346645832062,0.9438702464103699,0.08062120527029037
j-10-10-r-5-10,2,0.027243435382843018,0.1630575954914093,0.09010526537895203,0.3706158399581909,0.8364293575286865,0.05170809477567673
j-10-10-r-5-10,3,0.014694472774863243,0.2234456092119217,0.39104244112968445,0.4918760657310486,0.8330700397491455,0.31402137875556946
j-10-10-r-5-10,4,0.03228899464011192,0.27303460240364075,0.01577329821884632,0.38120606541633606,0.8348442912101746,0.008480967953801155
j-10-10-r-5-10,5,0.1228400319814682,0.13438065350055695,0.29147517681121826,0.41843509674072266,0.8253780603408813,0.16004857420921326
j-10-10-r-5-10,6,0.06870230287313461,0.001479141297750175,0.056148625910282135,0.35587331652641296,0.8120673894882202,0.03608180582523346
j-10-10-r-5-10,7,0.03990543261170387,0.09944471716880798,0.17668291926383972,0.35857680439949036,0.7176323533058167,0.09258846193552017
j-10-10-r-5-10,8,0.028796713799238205,0.002364646177738905,0.07196304202079773,0.41451650857925415,0.817655086517334,0.03413651883602142
j-10-10-r-5-10,9,0.012782812118530273,0.3340024948120117,0.018991125747561455,0.33337512612342834,0.744670033454895,0.010478327050805092
j-10-10-r-5-10,10,0.1695646494626999,0.24697984755039215,0.33861497044563293,0.5134947299957275,0.8316971063613892,0.17477235198020935
j-10-10-r-5-10,11,0.17731645703315735,0.2584654986858368,0.3632544279098511,0.41093534231185913,0.8010838031768799,0.13979275524616241
j-10-10-r-5-10,12,0.09023749828338623,0.22615084052085876,0.3226536810398102,0.37421709299087524,0.9333637952804565,0.13994081318378448
j-10-10-r-5-10,13,0.13810159265995026,0.28087717294692993,0.47550663352012634,0.36613085865974426,0.6849053502082825,0.18858051300048828
j-10-10-r-5-10,14,0.12202537059783936,0.15230044722557068,0.21793697774410248,0.31185442209243774,0.7526180744171143,0.08855300396680832
j-10-10-r-5-10,15,0.04864218831062317,0.1555885672569275,0.14679306745529175,0.35417717695236206,0.7627847790718079,0.09844079613685608
j-10-10-r-5-10,16,0.07635225355625153,0.18809159100055695,0.06325390189886093,0.34691083431243896,0.7417370080947876,0.029643861576914787
j-10-10-r-5-10,17,0.056511811912059784,0.07229086756706238,0.21751883625984192,0.2804373502731323,0.696397602558136,0.12366312742233276
j-10-10-r-5-10,18,0.02041338011622429,0.13225284218788147,0.07719441503286362,0.338850200176239,0.7045457363128662,0.050945721566677094
j-10-10-r-5-10,19,0.13405029475688934,0.11463455855846405,0.26765176653862,0.3584323525428772,0.7593284845352173,0.09023959934711456
j-10-10-r-5-10,20,0.08361300826072693,0.33862489461898804,0.11660498380661011,0.3742966949939728,0.7574689388275146,0.03242211416363716
j-10-10-r-5-10,21,0.03332627937197685,0.18424095213413239,0.23001350462436676,0.37650877237319946,0.6843412518501282,0.14500769972801208
j-10-10-r-5-10,22,0.10115562379360199,0.018014902248978615,0.1512230932712555,0.37902095913887024,0.7397895455360413,0.06706979125738144
j-10-10-r-5-10,23,0.05333520844578743,0.07839888334274292,0.31260448694229126,0.36817264556884766,0.6650094985961914,0.15705309808254242
j-10-10-r-5-10,24,0.19936180114746094,0.28774315118789673,0.5272754430770874,0.3650790750980377,0.6615698337554932,0.296867698431015
j-10-10-r-5-10,25,0.03208915889263153,0.18278303742408752,0.2059112787246704,0.34440937638282776,0.7421336770057678,0.19222474098205566
j-10-10-r-5-10,26,0.16726958751678467,0.0810680091381073,0.606961727142334,0.35799717903137207,0.6466586589813232,0.32425522804260254
j-10-10-r-5-10,27,0.030939269810914993,0.13902616500854492,0.019881531596183777,0.3553854525089264,0.7099344730377197,0.007396832574158907
j-10-10-r-5-10,28,0.15934373438358307,0.033175572752952576,0.2334924042224884,0.3681727647781372,0.7463134527206421,0.09674667567014694
j-10-10-r-5-10,29,0.03508118540048599,0.06971514970064163,0.055779360234737396,0.30626899003982544,0.7409120798110962,0.03040037490427494
j-10-10-r-5-10,30,0.18032938241958618,0.10263703763484955,0.30189695954322815,0.3670893907546997,0.8205678462982178,0.16278642416000366
j-10-10-r-5-10,31,0.06725074350833893,0.00971019547432661,0.168696790933609,0.42258119583129883,0.8062113523483276,0.09129494428634644
j-10-10-r-5-10,32,0.09460670500993729,0.04804166033864021,0.3628292679786682,0.39620891213417053,0.8136814832687378,0.1677892804145813
j-10-10-r-5-10,33,0.02790898270905018,0.2790716290473938,0.4880979061126709,0.3339717984199524,0.7344958782196045,0.3118177354335785
j-10-10-r-5-10,34,0.014493737369775772,0.1907242387533188,0.37963366508483887,0.5410097241401672,0.9423121809959412,0.1657922863960266
j-10-10-r-5-10,35,0.14608588814735413,0.12761664390563965,0.33981698751449585,0.41025295853614807,0.7658687829971313,0.1394873410463333
j-10-10-r-5-10,36,0.037738095968961716,0.22454896569252014,0.06614354997873306,0.25025615096092224,0.7461285591125488,0.06043870747089386
j-10-10-r-5-10,37,0.08373701572418213,0.2695426940917969,0.3284044563770294,0.3903246521949768,0.7990970015525818,0.06188325956463814
j-10-10-r-5-10,38,0.08207325637340546,0.18552011251449585,0.46777039766311646,0.38272079825401306,0.7430493235588074,0.190555140376091
j-10-10-r-5-10,39,0.03019583597779274,0.07546329498291016,0.07694671303033829,0.3735155761241913,0.6836967468261719,0.027449466288089752
j-10-10-r-5-10,40,0.05746441334486008,0.1917465776205063,0.1414288729429245,0.41028258204460144,0.7283576726913452,0.08536229282617569
j-10-10-r-5-10,41,0.02204129844903946,0.2480367124080658,0.11078192293643951,0.31909096240997314,0.7008850574493408,0.06630135327577591
j-10-10-r-5-10,42,0.06685015559196472,0.012558326125144958,0.29211777448654175,0.36121490597724915,0.7816785573959351,0.06181307137012482
j-10-10-r-5-10,43,0.05594682693481445,0.2947705090045929,0.08348982781171799,0.2948005795478821,0.779265284538269,0.031401995569467545
j-10-10-r-5-10,44,0.13725906610488892,0.30637529492378235,0.1743958294391632,0.38062238693237305,0.7614216208457947,0.045996639877557755
j-10-10-r-5-10,45,0.1394476592540741,0.08540259301662445,0.12179220467805862,0.33250224590301514,0.6724600791931152,0.06069846823811531
j-10-10-r-5-10,46,0.06280283629894257,0.008429678156971931,0.1740252673625946,0.3169807195663452,0.6647368669509888,0.0955495834350586
j-10-10-r-5-10,47,0.05154535546898842,0.02506403438746929,0.05525321885943413,0.38065484166145325,0.7135942578315735,0.028840679675340652
j-10-10-r-5-10,48,0.035929810255765915,0.22235624492168427,0.12729494273662567,0.38535505533218384,0.7563842535018921,0.05262912064790726
